User Input,Chatbot Response,Timestamp
sanghmitra,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2025-03-13 03:42:15
hii,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2025-03-13 04:02:27
hi,Hello,2025-03-13 04:02:31
hi,Nothing much,2025-03-13 04:02:54
 Good evening  ,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2025-03-13 04:03:25
Hi  ,Hey,2025-03-13 04:03:43
good morning,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2025-03-13 04:04:41
bye,See you later,2025-03-13 04:04:59
What can you do? ,I can answer questions and provide assistance,2025-03-13 04:06:10
Tell me about yourself,"Reading books can broaden your knowledge, enhance creativity, and provide a great way to relax.",2025-03-13 04:07:09
How does this chatbot work?,"Artificial intelligence is the simulation of human intelligence in machines, enabling them to learn and perform tasks.",2025-03-13 04:08:11
Hw are you? ,I can answer questions and provide assistance,2025-03-13 04:09:58
thanks,You're welcome,2025-03-13 04:13:49
help,"Sure, what do you need help with?",2025-03-13 04:16:15
age,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2025-03-13 04:17:13
weather,You can check the weather on a weather app or website.,2025-03-13 04:17:28
